Business Name,Place ID,Predicted Label,Logo URL
Mike's Heating & Cooling (Mikes Service),ChIJVxNav6HmiYgRPlbN2cpXTxM,logo,https://lh6.googleusercontent.com/-h8ahtA7jWlo/AAAAAAAAAAI/AAAAAAAAAAA/0DdRVKdjJHU/s512/photo.jpg
One Team Heating and Cooling LLC.,ChIJR0-6ZRFWQ2YR2t5jmJCjKCM,logo,https://lh3.googleusercontent.com/-hmGr9dXByjo/AAAAAAAAAAI/AAAAAAAAAAA/vuOmX4LCmzo/s512/photo.jpg
P & W Heating and Cooling,ChIJARmeAkG1jIgRgqK_BUDlNh0,logo,https://lh5.googleusercontent.com/-zV5oBVd4Qro/AAAAAAAAAAI/AAAAAAAAAAA/FnGdOZ4CrXs/s512/photo.jpg
Plus One Heating and Air,ChIJ3y-tznQfiYgRGpT8PthQgOQ,logo,https://lh5.googleusercontent.com/-tpD9OTZ6Oqc/AAAAAAAAAAI/AAAAAAAAAAA/ljdX-D861UQ/s512/photo.jpg
Powell Comfort Systems,ChIJeVqiIkb5iIgRsO0PMlyLpeI,logo,https://lh4.googleusercontent.com/-MiKqXTaS73g/AAAAAAAAAAI/AAAAAAAAAAA/oobpSc0gxA0/s512/photo.jpg
Prattville Heating & Air,ChIJh7TsR4mPjogR85qVHpHf33U,logo,https://lh4.googleusercontent.com/-Z-hNw9toDhQ/AAAAAAAAAAI/AAAAAAAAAAA/LnQKaExziTU/s512/photo.jpg
"Prestige Comfort Services, LLC",ChIJS0LdQwQ9jIgRmWNAtx6OEjU,logo,https://lh3.googleusercontent.com/-cumW9mDs8_4/AAAAAAAAAAI/AAAAAAAAAAA/pRi4GqQN7HI/s512/photo.jpg
R & J Heating and Air Conditioning,ChIJTzzEC9NtiogR2wyP3qbbYKo,logo,https://lh4.googleusercontent.com/-m3w_NYs0QIA/AAAAAAAAAAI/AAAAAAAAAAA/uFcrgnzahpY/s512/photo.jpg
R&M Heating and Cooling,ChIJT3BuUFw7YogRC9dFmCTQtuo,logo,https://lh5.googleusercontent.com/-0OjnGuqqMUs/AAAAAAAAAAI/AAAAAAAAAAA/OYDgTqBibuE/s512/photo.jpg
Red Wolf Heating & Air,ChIJgckf_-xQOqsRB3jLDgqQr6s,logo,https://lh5.googleusercontent.com/-59uzEER2Bh4/AAAAAAAAAAI/AAAAAAAAAAA/1W6WYm2i2EI/s512/photo.jpg
Riley Services Heating & Cooling LLC,ChIJ_b3z10sNiYgRc2GEMGlqR2o,logo,https://lh3.googleusercontent.com/-G061P1hMc-A/AAAAAAAAAAI/AAAAAAAAAAA/x2-qW1cky0M/s512/photo.jpg
SLUSMEYER SERVICE COMPANY LLC,ChIJS6o759BHiogROCUf82mMQSQ,logo,https://lh4.googleusercontent.com/-ARDHsbMM5hg/AAAAAAAAAAI/AAAAAAAAAAA/Y5zXN1EXKr0/s512/photo.jpg
Setpoint Heating and Cooling,ChIJPznf38tzyA8R7RJuYvjzwp8,logo,https://lh3.googleusercontent.com/-Km4nivkIF_A/AAAAAAAAAAI/AAAAAAAAAAA/nGO1kpESjrg/s512/photo.jpg
"Seymour's Heating & Air, LLC",ChIJd_S-92m7jIgRC9eNmoAV_oc,logo,https://lh5.googleusercontent.com/-XDYUCpBQrAg/AAAAAAAAAAI/AAAAAAAAAAA/zWpZqaptp9Q/s512/photo.jpg
Singleton's General Heating and Air,ChIJrzDq9z8jjIgRDnu2ypJdn-0,logo,https://lh4.googleusercontent.com/-GLWR_F74W4g/AAAAAAAAAAI/AAAAAAAAAAA/SQrNrXYV4Zs/s512/photo.jpg
"Southern Comfort Heating and Air, LLC",ChIJARkCv4RWi4gRd7j3lx_KOcc,logo,https://lh3.googleusercontent.com/-gsZA8ccosmA/AAAAAAAAAAI/AAAAAAAAAAA/LoPtW2sC3Xs/s512/photo.jpg
Sullivan Service Co,ChIJjxF6uewbiYgRMhAs2rqN9us,logo,https://lh4.googleusercontent.com/-URVPPHOLXQg/AAAAAAAAAAI/AAAAAAAAAAA/iYvtfedqMSY/s512/photo.jpg
Summit Service Heating and Air,ChIJaQnZmCHgnkMRJGO-VhwNAnw,logo,https://lh3.googleusercontent.com/-IqFJLxvmALs/AAAAAAAAAAI/AAAAAAAAAAA/sJqJ95Ce654/s512/photo.jpg
Superior Comfort Heating and Cooling LLC,ChIJvxZShB0pyEQRwaBvS8foVY8,logo,https://lh4.googleusercontent.com/-OU9WL_b0kus/AAAAAAAAAAI/AAAAAAAAAAA/EVXXNp3in6E/s512/photo.jpg
TemperaturePro,ChIJ51cRKMUZiYgRxbmPvxYufm8,logo,https://lh5.googleusercontent.com/-pA4G0PGsRKA/AAAAAAAAAAI/AAAAAAAAAAA/pBOyQOKzAsw/s512/photo.jpg
Tennessee Valley Air Conditioning & Mechanical,ChIJoZ6sgp1lsC8RWYj9FHv0Sms,logo,https://lh3.googleusercontent.com/-1cJ0LRmpe64/AAAAAAAAAAI/AAAAAAAAAAA/_02lZHdsFNU/s512/photo.jpg
Tiger Mechanical Service,ChIJPxxB0gLBjogRsd5Pyg0WbtA,logo,https://lh6.googleusercontent.com/-u1Bz5vvoPr8/AAAAAAAAAAI/AAAAAAAAAAA/eRZ4kN2JnwI/s512/photo.jpg
Trane Supply,ChIJ9b1YqqsfiYgRpWSTJwLDI1Y,logo,https://lh6.googleusercontent.com/-O2f7_5D9ujU/AAAAAAAAAAI/AAAAAAAAAAA/W-TDS19EGYk/s512/photo.jpg
Valley Services HVAC & Electric,ChIJt3dp7Xo3YogRKM6NLPCkNvM,logo,https://lh3.googleusercontent.com/-EBQlOQffqAA/AAAAAAAAAAI/AAAAAAAAAAA/lF_Y6d2wevA/s512/photo.jpg
Wingman Heating + Cooling,ChIJLcxNX8TyJYARLw9B_JTbDrU,logo,https://lh5.googleusercontent.com/-QfS0EBOm7j0/AAAAAAAAAAI/AAAAAAAAAAA/vs-t4rQWvqA/s512/photo.jpg
Worley's Heating Cooling & Gas LLC,ChIJ5arFZZIPYogRExa8KJriHfU,logo,https://lh6.googleusercontent.com/-NcfV5KPfR9I/AAAAAAAAAAI/AAAAAAAAAAA/8Jy7U856UQA/s512/photo.jpg
Jackson Heating & Cooling,ChIJ_9KkcsGXiYgRxhZrdXBhtRU,logo,https://lh5.googleusercontent.com/-fq7fLluhG4Q/AAAAAAAAAAI/AAAAAAAAAAA/E-P-lL3Ipa4/s512/photo.jpg
Burns and Davis Heating & Cooling,ChIJ7zM3gF0QiogRs6cZEkRIlLY,logo,https://lh3.googleusercontent.com/-kmxlWtSLKuc/AAAAAAAAAAI/AAAAAAAAAAA/zu-hs6Y3jss/s512/photo.jpg
Ultimate Heating and Air Conditioning,ChIJk9DNUnYPYogRGmIDlxHZCRI,logo,https://lh5.googleusercontent.com/--ivKqONA8y4/AAAAAAAAAAI/AAAAAAAAAAA/k1Lh3E1vbzo/s512/photo.jpg
MaconAire,ChIJj3Gm7_5tJ0YRdeY-2A53XBk,logo,https://lh5.googleusercontent.com/-YjAx3cfvHvs/AAAAAAAAAAI/AAAAAAAAAAA/wy9luqspEjQ/s512/photo.jpg
Superior Heating and Cooling,ChIJq7WmjE0xj4gRIcaD5d1zVUg,logo,https://lh5.googleusercontent.com/-uTr0l2fLGDE/AAAAAAAAAAI/AAAAAAAAAAA/ZZcVAqtYxpQ/s512/photo.jpg
"Skelton's Heating, Cooling & Plumbing",ChIJUao3UcFbiYgRZq8ZNLqF4_Q,logo,https://lh4.googleusercontent.com/-HBd266Tk4DQ/AAAAAAAAAAI/AAAAAAAAAAA/jb-qCMSs-uQ/s512/photo.jpg
"Bedgood Heating & Air Conditioning, Inc.",ChIJG-rIwr8cm4gR21D29JvgJnw,logo,https://lh5.googleusercontent.com/-CHM6gLYuUG8/AAAAAAAAAAI/AAAAAAAAAAA/S2wcUQxO8S4/s512/photo.jpg
Hollon Heating & Air Conditioning,ChIJbwgj2IbGjogR_5yvihwSqOc,logo,https://lh5.googleusercontent.com/-WdReEGfFsyw/AAAAAAAAAAI/AAAAAAAAAAA/S-HqujzXkno/s512/photo.jpg
"Knight & Day HVAC Services, LLC",ChIJAyn_Q2tp54gREW3_Mfx_7m8,logo,https://lh4.googleusercontent.com/-wGJRe9Cj1e4/AAAAAAAAAAI/AAAAAAAAAAA/ORt9bgWxRls/s512/photo.jpg
A Rescue Plumber | Plumbers Cullman Al,ChIJpe_O1GDLiYgR7cKcOrlgzOg,logo,https://lh4.googleusercontent.com/-L7p5xPlyQ8M/AAAAAAAAAAI/AAAAAAAAAAA/CT6whWxRt6s/s512/photo.jpg
B&M Mechanical,ChIJzbZdC7lKiIgR4SQiYkvCKMg,logo,https://lh5.googleusercontent.com/-WIkja5Z_TAU/AAAAAAAAAAI/AAAAAAAAAAA/JjHuTgQIIzU/s512/photo.jpg
"Bama Air Systems Mechanical Contractors, Inc",ChIJmw82FHzKiYgRqR1Aw60V5vY,logo,https://lh5.googleusercontent.com/-TycegWSbbkw/AAAAAAAAAAI/AAAAAAAAAAA/gW-Z3MwowWo/s512/photo.jpg
