slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
a-advantage-air-inc,,,A Advantage Air Inc.,https://smartcaresolutions.com/providers/a-advantage-air/?utm_source=gbp,https://lh3.googleusercontent.com/-eMMLMkZ27ls/AAAAAAAAAAI/AAAAAAAAAAA/Jz6305RIm0w/s44-p-k-no-ns-nd/photo.jpg,ChIJ_aTbqysbiYgRsVedWY4WP2w,#dde7ee,#6c6c88
a-better-way-heating-cooling,,,A Better Way Heating & Cooling,,https://lh3.googleusercontent.com/-YMrAgc4_d3Y/AAAAAAAAAAI/AAAAAAAAAAA/M5KLsvcMetg/s44-p-k-no-ns-nd/photo.jpg,ChIJnfWLNbR1YogRydTLczujn9E,#0c1116,#c5958e
ac-heating-and-air-llc,,,A&C Heating and Air LLC,http://www.acheatingandairllc.com/,https://lh3.googleusercontent.com/-rIgWKrZF9Ic/AAAAAAAAAAI/AAAAAAAAAAA/N8c-Q4gykPU/s44-p-k-no-ns-nd/photo.jpg,ChIJLa5my0Wvi4gR8j3B74jtD-c,#d4d8de,#c3252a
aga-hvac-services,,,AGA HVAC Services,https://agahvacservices.com/,https://lh5.googleusercontent.com/-ibd3J6pc8JI/AAAAAAAAAAI/AAAAAAAAAAA/b8cQ71SQRbw/s44-p-k-no-ns-nd/photo.jpg,ChIJs8br446bLAsRahhoNUdtMLs,Error,Error
affordable-comfort-cooling-systems-plumbing,,,Affordable Comfort Cooling Systems & Plumbing,https://accsauburn.com/,https://lh6.googleusercontent.com/-fLT6c_FDOvo/AAAAAAAAAAI/AAAAAAAAAAA/dWGBXXf60eI/s44-p-k-no-ns-nd/photo.jpg,ChIJ5d8uXNSzZCcRoqCGxHh92aI,#375776,#9d353d
air-by-design,,,Air By Design,http://airbydesignhvac.com/,https://lh5.googleusercontent.com/-CxjyEYPz2hw/AAAAAAAAAAI/AAAAAAAAAAA/9GvkkB42GMQ/s44-p-k-no-ns-nd/photo.jpg,ChIJXfj--h0Y3IsRieFtgNCDagI,#edeaea,#2e3e59
air-dominance-llc,,,"Air Dominance, LLC",http://airdominancellc.com/,https://lh3.googleusercontent.com/-go0Pa5HP4fA/AAAAAAAAAAI/AAAAAAAAAAA/FdzJdUq3WG0/s44-p-k-no-ns-nd/photo.jpg,ChIJX21k7u2YkqgRrPkterr_D7Q,#292827,#d79656
air-medx,,,Air Medx,,https://lh4.googleusercontent.com/-4UvjHtHOneY/AAAAAAAAAAI/AAAAAAAAAAA/0Ley-vkWZWk/s44-p-k-no-ns-nd/photo.jpg,ChIJEVCorVrOjIgRg1LV3_ywrvI,#d61f28,#303066
air-pro-heating-and-cooling-llc,,,Air Pro Heating and Cooling LLC,https://airprollc.biz/,https://lh3.googleusercontent.com/-8r_EO7mxOJo/AAAAAAAAAAI/AAAAAAAAAAA/V5WS38LHTmA/s44-p-k-no-ns-nd/photo.jpg,ChIJe93rJ6JGYogRIZnn3GzqggA,#2d2b2a,#cfbcbf
air-service-pro,,,Air Service Pro,,https://lh3.googleusercontent.com/-fPMddc5embs/AAAAAAAAAAI/AAAAAAAAAAA/WuOuDDaub3c/s44-p-k-no-ns-nd/photo.jpg,ChIJc3bk_cKviYgR-2H-c83RksI,#958f88,#394e58
air-service-pros,,,Air Service Pros,http://bucketserviceshvac.com/,https://lh3.googleusercontent.com/-0mpdZzfuLEQ/AAAAAAAAAAI/AAAAAAAAAAA/fzKeF1GxEdM/s44-p-k-no-ns-nd/photo.jpg,ChIJ04J-E7cZiYgRNzlVcdyFLds,#0f141e,#b27363
air-services-inc,,,Air Services Inc,,https://lh6.googleusercontent.com/-_6FR--sh7bI/AAAAAAAAAAI/AAAAAAAAAAA/Qsape5jf01c/s44-p-k-no-ns-nd/photo.jpg,ChIJg01CPNkeiYgRuPwIKQ6vjR8,Error,Error
air-tech-mechanical-contractors-llc,,,Air Tech Mechanical Contractors LLC,,https://lh5.googleusercontent.com/-jI8oibOv7nQ/AAAAAAAAAAI/AAAAAAAAAAA/QU3Vipux8tM/s44-p-k-no-ns-nd/photo.jpg,ChIJA-aC-G8biYgRwjHAiqz3Qrs,#e5e5e5,#b1b1b1
air-logistics-heating-air-conditioning,,,Air logistics Heating & Air Conditioning,,https://lh5.googleusercontent.com/-e3F3rwH9aBw/AAAAAAAAAAI/AAAAAAAAAAA/5JyP7B8yjnA/s44-p-k-no-ns-nd/photo.jpg,ChIJc7oCCW2siYgR22yD0eCw-JE,#706e6b,#d3c9c3
